,Variant,Transmission,km_driven,Owner_Type,Fuel,Price,Company,Car,Age
376,J MT,Manual,8461,1st Owner,Petrol,1161299,Toyota,YARIS,1
377,VXI,Manual,26096,1st Owner,Petrol,362199,Maruti,Alto K10,4
378,1.6 SX CRDI,Manual,40640,1st Owner,Diesel,1028899,Hyundai,Creta,4
379,VDI,Manual,60623,1st Owner,Diesel,366399,Maruti,Ritz,7
380,ZETA 1.2 K12,Manual,80741,2nd Owner,Petrol,569099,Maruti,Baleno,3
381,1.4 E PLUS CRDI,Manual,88168,1st Owner,Diesel,887499,Hyundai,Creta,4
382,DELTA 1.2 K12,Manual,65626,1st Owner,Petrol,612699,Maruti,Baleno,3
383,VXI AMT,Automatic,36424,1st Owner,Petrol,686099,Maruti,Swift,3
384,MAGNA 1.2,Manual,91525,1st Owner,Petrol,507699,Hyundai,Elite i20,6
385,35TDI PREMIUM,Automatic,34148,2nd Owner,Diesel,1317299,Audi,A3,8
386,VXI,Manual,14443,1st Owner,Petrol,387699,Maruti,Alto,2
387,SPORTZ 1.4,Manual,94365,3rd Owner,Diesel,396799,Hyundai,Elite i20,7
388,ZDI,Manual,41077,1st Owner,Diesel,866099,Maruti,Vitara Brezza,3
389,S5,Manual,56538,1st Owner,Diesel,1046899,Mahindra,Scorpio,4
390,ZETA 1.2 K12,Manual,45448,1st Owner,Petrol,529399,Maruti,Baleno,5
391,LXI,Manual,35617,1st Owner,Petrol,307099,Maruti,Alto 800,4
392,ALPHA 1.2 K12,Manual,37949,1st Owner,Petrol,684199,Maruti,Baleno,4
393,LXI,Manual,78068,2nd Owner,Petrol,233899,Maruti,Ritz,11
394,VXI,Manual,42317,1st Owner,Petrol,378599,Maruti,Alto K10,4
395,VDI,Manual,24670,2nd Owner,Diesel,778999,Maruti,Vitara Brezza,3
396,DELTA 1.2 K12 AT,Automatic,33503,1st Owner,Petrol,773949,Maruti,Baleno,2
398,VXI,Manual,37480,1st Owner,Petrol,378699,Maruti,Alto,2
399,DELTA 1.2 K12,Manual,49092,1st Owner,Petrol,525199,Maruti,Baleno,6
400,ALPHA 1.2 K12,Manual,44978,1st Owner,Petrol,616999,Maruti,Baleno,5
401,1.4 E PLUS CRDI,Manual,68765,1st Owner,Diesel,801199,Hyundai,Creta,5
402,VDI,Manual,28057,1st Owner,Diesel,720899,Maruti,Vitara Brezza,4
403,1.6 CRDI SX PLUS AUTO,Automatic,79950,2nd Owner,Diesel,1000999,Hyundai,Creta,4
404,1.5 TITANIUM TI VCT AT,Automatic,18977,1st Owner,Petrol,784199,Ford,Ecosport,5
405,ZDI+ SHVS,Manual,57281,2nd Owner,Diesel,643799,Maruti,Ciaz,5
406,1.5TITANIUM TDCI,Manual,33438,1st Owner,Diesel,815399,Ford,Ecosport,4
407,35 TDI Quattro,Automatic,52533,1st Owner,Diesel,1486499,Audi,Q3,7
408,FLUIDIC 1.6 SX CRDI,Manual,33450,1st Owner,Diesel,450499,Hyundai,Verna,9
409,VXI,Manual,38225,1st Owner,Petrol,358799,Maruti,Alto K10,3
410,VXI PLUS,Manual,14860,1st Owner,Petrol,455999,Maruti,S PRESSO,2
411,VXI PLUS,Manual,14050,1st Owner,Petrol,472199,Maruti,S PRESSO,1
412,LXI CNG,Manual,21829,1st Owner,Petrol + CNG,520399,Maruti,Alto,1
413,ZDI PLUS,Manual,36809,1st Owner,Diesel,665199,Maruti,Vitara Brezza,6
414,S10,Manual,43901,1st Owner,Diesel,1132999,Mahindra,Scorpio,6
415,ZETA 1.2 K12,Manual,61060,1st Owner,Petrol,535499,Maruti,Baleno,6
