,Variant,Transmission,km_driven,Owner_Type,Fuel,Price,Company,Car,Age
0,GTX + AT PETROL,Automatic,8241,1st Owner,Petrol,1895199,KIA,SELTOS,2
1,LXI,Manual,10568,1st Owner,Petrol,592499,Maruti,Swift,2
2,LXI,Manual,27659,1st Owner,Petrol,533399,Maruti,Swift,3
3,HTX 1.5 PETROL MT,Manual,32799,1st Owner,Petrol,1383099,KIA,SELTOS,2
4,C 200 AVANTGARDE,Automatic,37531,1st Owner,Petrol,2033499,Mercedes,Benz C Class,8
6,ERA 1.1 IRDE,Manual,37928,1st Owner,Petrol,271699,Hyundai,i10,9
7,VX MT PETROL,Manual,61168,2nd Owner,Petrol,658499,Honda,City,8
8,SHARP (O) 1.5 CVT IVORY,AUTOMATIC,2091,1st Owner,Petrol,1767999,MG,ASTOR,0
9,HTK PLUS 1.5 DIESEL,Manual,25067,1st Owner,Diesel,1307499,KIA,SELTOS,3
10,1.0 RXT Opt,Manual,368,1st Owner,Petrol,505099,Renault,Kwid,1
11,1.1 ERA EXICUTIVE,Manual,3812,2nd Owner,Petrol,471599,Hyundai,NEW SANTRO,2
13,LXI,Manual,5078,1st Owner,Petrol,611299,Maruti,Swift,1
14,2.2 DIESEL,Automatic,28909,2nd Owner,Diesel,1549999,Jaguar,XF,9
15,GTX + AT PETROL,Automatic,37357,1st Owner,Petrol,1659099,KIA,SELTOS,3
16,LXI,Manual,25788,1st Owner,Petrol,542299,Maruti,Dzire,4
17,1.2 i-VTEC VX MT,Manual,17511,1st Owner,Petrol,779899,Honda,WR-V,5
18,XE 1.2,Manual,7472,1st Owner,Petrol,641999,Tata,ALTROZ,1
19,SIGMA 1.2 K12,Manual,8966,1st Owner,Petrol,603599,Maruti,Baleno,2
21,MAGNA 1.2 KAPPA2,Manual,72229,1st Owner,Petrol,282899,Hyundai,i10,11
22,XZ 1.2,Manual,1086,1st Owner,Petrol,861699,Tata,ALTROZ,0
23,MAGNA 1.1 IRDE2,Manual,41439,2nd Owner,Petrol,349399,Hyundai,i10,8
24,RXT 1.0 AMT,Automatic,5972,1st Owner,Petrol,830299,Renault,Kiger,1
25,ERA 1.1 IRDE,Manual,21723,1st Owner,Petrol,210249,Hyundai,i10,13
26,VXI,Manual,28210,1st Owner,Petrol,270299,Maruti,Alto 800,8
27,LXI,Manual,48001,2nd Owner,Petrol,170299,Maruti,Alto,12
29,ERA 1.1 IRDE,Manual,44327,1st Owner,Petrol,199699,Hyundai,i10,13
30,1.4 SPORT PETROL,Manual,42490,2nd Owner,Petrol,1376149,Jeep,Compass,3
31,VXI,Manual,14065,1st Owner,Petrol,477299,Maruti,Celerio,2
32,HTK 1.5 PETROL,Manual,32873,1st Owner,Petrol,1189899,KIA,SELTOS,2
33,MAGNA 1.2 VTVT,Manual,6470,1st Owner,Petrol,608399,Hyundai,Grand i10,2
34,SHARP HYBRID PETROL,Manual,12185,2nd Owner,Petrol,1848299,MG,HECTOR PLUS,2
35,T (O),Manual,13021,1st Owner,Petrol,463499,Datsun,Redi Go,1
36,XE DIESEL,Manual,63753,1st Owner,Diesel,275299,Nissan,Micra,8
37,1.4  LONGITUDE (O) AT,Automatic,23327,1st Owner,Petrol,2012799,Jeep,Compass,3
38,2.0 LIMITED,Manual,46860,1st Owner,Diesel,1941699,Jeep,Compass,3
40,SPORTZ 1.2 KAPPA VTVT,Manual,16157,1st Owner,Petrol,465199,Hyundai,Grand i10,6
41,1.6 CRDI SX + AT,Automatic,33499,1st Owner,Diesel,1149399,Hyundai,Verna,4
42,ZXI,Manual,13159,1st Owner,Petrol,412099,Maruti,Swift,10
43,SPORTZ 1.2,Manual,25414,1st Owner,Petrol,530099,Hyundai,Elite i20,7
44,SV MT PETROL,Manual,58689,1st Owner,Petrol,732399,Honda,City,5
45,SPORTZ 1.2 KAPPA2,Manual,54800,1st Owner,Petrol,257999,Hyundai,i10,10
46,XV CVT,Automatic,8096,1st Owner,Petrol,476399,Nissan,Micra,6
48,1.0 RXT Opt,Manual,10572,2nd Owner,Petrol,452199,Renault,Kwid,2
49,VXI AMT,Automatic,41822,3rd Owner,Petrol,339599,Maruti,Celerio,8
51,1.5 SX (O) AT,Automatic,16315,1st Owner,Petrol,1755399,Hyundai,Creta,2
54,LXI,Manual,59277,1st Owner,Petrol,342699,Maruti,Wagon R 1.0,8
55,SHARP DCT PETROL,Automatic,9378,1st Owner,Petrol,1794899,MG,HECTOR,3
56,SIGMA 1.2 K12,Manual,15199,1st Owner,Petrol,506599,Maruti,IGNIS,2
57,HTK PLUS AT 1.5 DIESEL,Automatic,33981,2nd Owner,Diesel,1465299,KIA,SELTOS,2
58,GT TSI 1.2 PETROL AT,Automatic,36483,1st Owner,Petrol,608199,Volkswagen,Polo,7
59,VXI,Manual,35953,1st Owner,Petrol,603299,Maruti,Swift,3
60,FLUIDIC 1.6 SX VTVT OPT AT,Automatic,60368,2nd Owner,Petrol,523299,Hyundai,Verna,9
61,VXI,Manual,2920,1st Owner,Petrol,408999,Maruti,Alto K10,4
62,V MT PETROL,Manual,83263,1st Owner,Petrol,549799,Honda,City,8
63,1.0 RXT Opt,Manual,2863,1st Owner,Petrol,473299,Renault,Kwid,1
64,HTX+ AT 1.5 DIESEL,Automatic,32605,2nd Owner,Diesel,1539699,KIA,SELTOS,2
65,MAGNA 1.2,Manual,20452,2nd Owner,Petrol,494199,Hyundai,Elite i20,6
66,SPORTZ 1.2 KAPPA VTVT,Manual,21043,1st Owner,Petrol,540599,Hyundai,Grand i10,3
67,MAGNA 1.1 IRDE2,Manual,61943,1st Owner,Petrol,259399,Hyundai,i10,11
68,VXI,Manual,9236,1st Owner,Petrol,879499,Maruti,Vitara Brezza,1
69,XDRIVE 20D,Automatic,71180,2nd Owner,Diesel,1126499,BMW,X3,9
71,ZXI AMT,Automatic,9278,1st Owner,Petrol,607599,Maruti,Celerio,1
72,ERA 1.4 CRDI,Manual,30354,1st Owner,Diesel,306299,Hyundai,i20,9
73,1.2 S AT,Automatic,48225,2nd Owner,Petrol,526999,Honda,Jazz,6
74,GT TSI 1.2 PETROL AT,Automatic,96751,1st Owner,Petrol,747899,Volkswagen,Polo,4
75,MAGNA O 1.2,Manual,59194,2nd Owner,Petrol,342799,Hyundai,i20,9
76,1.2 VX I-VTECH,Manual,28170,1st Owner,Petrol,543799,Honda,Jazz,7
77,VXI AMT,Automatic,45067,2nd Owner,Petrol,622999,Maruti,Swift,3
78,DELTA 1.2 K12,Manual,12452,2nd Owner,Petrol,668599,Maruti,Baleno,3
80,VX MT PETROL,Manual,7632,1st Owner,Petrol,1297699,Honda,City,2
81,ZXI 1.2,Manual,12418,1st Owner,Petrol,608599,Maruti,New  Wagon-R,2
82,1.0 RXT Opt AT,Automatic,35187,1st Owner,Petrol,500799,Renault,Kwid,1
84,LXI,Manual,55163,1st Owner,Petrol,188099,Maruti,Alto,12
85,SV MT PETROL,Manual,20567,2nd Owner,Petrol,599249,Honda,City,8
86,LXI OPT,Manual,2229,1st Owner,Petrol,428399,Maruti,Alto,1
87,V MT PETROL,Manual,68366,1st Owner,Petrol,815699,Honda,City,4
88,S MT 1.2 KAPPA,Manual,15263,1st Owner,Petrol,834099,Hyundai,VENUE,1
89,MAGNA 1.1 IRDE2,Manual,72272,2nd Owner,Petrol,330899,Hyundai,i10,7
90,A,Manual,27411,1st Owner,Petrol,328049,Datsun,Redi Go,3
91,2.0 LONGITUDE,Manual,72575,1st Owner,Diesel,1204299,Jeep,Compass,4
92,1.2 S (O) MT I VTEC,Manual,58093,2nd Owner,Petrol,506299,Honda,Amaze,4
93,XMA 1.2,Automatic,28467,1st Owner,Petrol,787499,Tata,NEXON,3
94,V MT PETROL,Manual,4216,1st Owner,Petrol,1096749,Honda,City,2
95,SIGMA 1.2 K12,Manual,36041,1st Owner,Petrol,551299,Maruti,Baleno,2
96,VXI,Manual,18949,1st Owner,Petrol,631299,Maruti,Dzire,5
97,VDI OPT,Manual,28496,2nd Owner,Diesel,647599,Maruti,Vitara Brezza,5
98,1.5 VXMT I DTEC,Manual,52220,1st Owner,Diesel,692849,Honda,Amaze,4
99,1.2 V CVT I VTEC,Automatic,13291,2nd Owner,Petrol,788399,Honda,Amaze,3
100,1.0 Lxi (o) cng,Manual,34542,1st Owner,Petrol + CNG,683199,Maruti,New  Wagon-R,1
101,XZA 1.2 REVOTRON,Automatic,13291,1st Owner,Petrol,534099,Tata,Tiago,3
102,VXI AMT,Automatic,10515,1st Owner,Petrol,574699,Maruti,Celerio,2
103,S MT PETROL,Manual,52035,1st Owner,Petrol,372999,Honda,City,11
104,1.0 RXT Opt,Manual,50466,1st Owner,Petrol,414699,Renault,Kwid,3
105,VX MT PETROL,Manual,6873,1st Owner,Petrol,1284799,Honda,City,2
106,RXL,Manual,19927,1st Owner,Petrol,354799,Renault,Kwid,4
107,ZXI 1.2,Manual,10777,1st Owner,Petrol,608599,Maruti,New  Wagon-R,2
108,ZDI PLUS DUAL TONE,Manual,38072,1st Owner,Diesel,788599,Maruti,Vitara Brezza,5
109,VXI AMT,Automatic,15854,1st Owner,Petrol,510899,Maruti,Wagon R 1.0,4
110,1.0 RXL,Manual,42535,1st Owner,Petrol,332399,Renault,Kwid,4
111,SPORTZ 1.2 KAPPA VTVT,Manual,19575,1st Owner,Petrol,485599,Hyundai,Grand i10,6
112,XE 1.2 REVOTRON,Manual,14201,1st Owner,Petrol,460599,Tata,Tiago,3
113,S MT PETROL,Manual,39565,1st Owner,Petrol,391699,Honda,City,12
114,1.0 RXT Opt,Manual,31621,1st Owner,Petrol,420299,Renault,Kwid,3
115,SHARP DCT PETROL,Automatic,12283,1st Owner,Petrol,1665399,MG,HECTOR,3
116,XTA 1.2 PETROL,Automatic,6990,1st Owner,Petrol,684599,Tata,Tiago,1
117,DELTA 1.2 K12 AT,Automatic,26314,2nd Owner,Petrol,527799,Maruti,Baleno,6
118,1.5 W6 MT,Manual,23806,1st Owner,Diesel,917399,Mahindra,XUV 3OO,3
119,LXI,Manual,2303,1st Owner,Petrol,384399,Maruti,Alto,1
120,VDI ABS,Manual,46245,1st Owner,Diesel,432499,Maruti,Swift,7
121,VXI AMT,Automatic,34110,1st Owner,Petrol,626699,Maruti,Swift,4
122,RXL,Manual,55187,2nd Owner,Petrol,321799,Renault,Kwid,4
123,XZ 1.2,Manual,9734,1st Owner,Petrol,822499,Tata,ALTROZ,0
124,FLUIDIC 1.6 VTVT SX AT,Automatic,13728,2nd Owner,Petrol,713499,Hyundai,Verna,6
125,XZ 1.2,Manual,10789,1st Owner,Petrol,804899,Tata,ALTROZ,1
126,LX  4WD AT CONVERTIBLE,Automatic,4222,1st Owner,Petrol,1696099,Mahindra,Thar,1
127,VXI,Manual,13818,2nd Owner,Petrol,391299,Maruti,Alto,3
128,DELTA 1.2 K12,Manual,24539,1st Owner,Petrol,671599,Maruti,Baleno,3
129,2.0 LIMITED,Manual,55714,1st Owner,Diesel,1261299,Jeep,Compass,4
130,1.0 RXZ,Manual,1599,1st Owner,Petrol,786899,Renault,TRIBER,1
131,SPORTZ (O) 1.2 AT VTVT,Automatic,16636,1st Owner,Petrol,586499,Hyundai,Grand i10,5
132,1.2 TITANIUM PETROL,Manual,33815,1st Owner,Petrol,568299,Ford,Figo Aspire,4
133,Magna Executive 1.2,Manual,15702,1st Owner,Petrol,581799,Hyundai,Elite i20,4
134,XZ 1.2 REVOTRON OPT,Manual,34014,1st Owner,Petrol,534499,Tata,TIGOR,4
135,RXL,Manual,35525,2nd Owner,Petrol,350499,Renault,Kwid,3
136,VXI AGS,Automatic,244,1st Owner,Petrol,567399,Maruti,S PRESSO,0
137,ALPHA 1.5 MT VTVT SHVS,Manual,4708,1st Owner,Petrol,1133599,Maruti,Ciaz,1
138,DELTA 1.2 K12,Manual,4260,1st Owner,Petrol,725599,Maruti,Baleno,2
139,1.6 VTVT SX AUTO,Automatic,26097,2nd Owner,Petrol,1353699,Hyundai,Creta,3
140,SPORTZ 1.4 CRDI,Manual,65005,1st Owner,Diesel,336499,Hyundai,i20,9
141,1.2 i-VTEC VX MT,Manual,51606,2nd Owner,Petrol,715999,Honda,WR-V,5
142,XZ 1.2,Manual,13937,1st Owner,Petrol,827999,Tata,ALTROZ,2
143,1.2 SAT I VTEC,Automatic,48381,2nd Owner,Petrol,538599,Honda,Amaze,6
144,G CVT,Automatic,44823,1st Owner,Petrol,979299,Toyota,YARIS,2
145,1.2 VXMT I VTEC,Manual,3031,1st Owner,Petrol,945599,Honda,Amaze,0
146,VXI,Manual,11917,1st Owner,Petrol,560599,Maruti,Swift,4
147,W9 AT,Automatic,20809,1st Owner,Diesel,1883699,Mahindra,XUV500,1
148,DELTA 1.2 K12,Manual,36411,1st Owner,Petrol,711199,Maruti,Baleno,2
149,RXL,Manual,5660,1st Owner,Petrol,404099,Renault,Kwid,3
150,V MT PETROL,Manual,91673,2nd Owner,Petrol,557699,Honda,City,8
152,ASTA 1.2 (O),Manual,87715,1st Owner,Petrol,674299,Hyundai,Elite i20,4
153,XZA  DUAL TONE,Automatic,16826,1st Owner,Diesel,2086999,Tata,Harrier,1
154,1.6 SX AT O,Automatic,11784,1st Owner,Diesel,1447599,Hyundai,New Elantra,3
155,SIGMA 1.2 K12,Manual,23514,1st Owner,Petrol,523999,Maruti,Baleno,5
156,XZ PLUS 1.2 REVOTRON,Manual,7089,1st Owner,Petrol,814799,Tata,TIGOR,1
157,V MT PETROL,Manual,38050,1st Owner,Petrol,912699,Honda,City,3
158,LXI OPT,Manual,37931,2nd Owner,Petrol,421999,Maruti,Swift,7
159,T (O),Manual,7323,1st Owner,Petrol,457499,Datsun,Redi Go,1
160,VX 1.2 CVT,Automatic,7460,1st Owner,Petrol,953799,Honda,Jazz,1
161,SPORTZ 1.2 KAPPA VTVT,Manual,46106,1st Owner,Petrol,482799,Hyundai,Grand i10,6
162,G AT,Automatic,75422,1st Owner,Petrol,1389899,Toyota,Corolla Altis,5
163,SPORTZ 1.2 KAPPA VTVT,Manual,65162,1st Owner,Petrol + CNG,460699,Hyundai,Grand i10,5
164,VXI,Manual,87463,1st Owner,Petrol,218899,Maruti,Alto K10,10
165,COMFORTLINE 1.2L PETROL,Manual,86070,1st Owner,Petrol,434999,Volkswagen,Polo,7
166,ZX CVT,Automatic,9871,1st Owner,Petrol,1000099,Honda,Jazz,2
167,SPORTZ 1.2 KAPPA VTVT,Manual,62740,2nd Owner,Petrol,427799,Hyundai,Grand i10,6
168,1.5 SX (O) AT,Automatic,31437,1st Owner,Petrol,1766599,Hyundai,Creta,2
169,1.4 S CRDI,Manual,71968,1st Owner,Diesel,957899,Hyundai,Creta,3
170,DELTA 1.2 K12,Manual,24767,1st Owner,Petrol,648799,Maruti,Baleno,3
171,1.2 SPORTS PLUS VTVT,Manual,30078,1st Owner,Petrol,707299,Hyundai,Elite i20,3
173,1.2 S MT,Manual,50506,2nd Owner,Petrol,543799,Honda,Jazz,4
174,DELTA 1.2 K12,Manual,26288,1st Owner,Petrol,655499,Maruti,Baleno,3
175,RXT,Manual,25910,2nd Owner,Petrol,342799,Renault,Kwid,5
176,1.0 TURBO GDI SX+ AT,Automatic,57770,1st Owner,Petrol,1039999,Hyundai,VENUE,3
177,ZXI +,Manual,22317,1st Owner,Petrol,982499,Maruti,Vitara Brezza,1
178,VXI,Manual,14400,1st Owner,Petrol,741999,Maruti,Dzire,1
179,LXI CNG,Manual,64132,1st Owner,Petrol + CNG,325799,Maruti,Wagon R 1.0,8
180,1.6 VTVT SX AUTO,Automatic,29081,1st Owner,Petrol,1407599,Hyundai,Creta,2
181,ZXI 1.2,Manual,23797,1st Owner,Petrol,608599,Maruti,New  Wagon-R,2
182,DELTA 1.2 K12,Manual,26445,1st Owner,Petrol,604899,Maruti,Baleno,4
183,SHARP 2.0 DIESEL,Manual,50353,1st Owner,Diesel,1518299,MG,HECTOR,3
184,ZXI AMT,Automatic,32649,1st Owner,Petrol,435599,Maruti,Celerio,6
185,SPORTZ 1.2 KAPPA VTVT,Manual,37953,2nd Owner,Petrol,521999,Hyundai,Grand i10,3
186,LX D 4*4 MT HT,Manual,6962,1st Owner,Diesel,1702699,Mahindra,Thar,1
187,ZXI OPT AMT,Automatic,81353,1st Owner,Petrol,422099,Maruti,Celerio,5
188,XZ 1.2,Manual,37413,1st Owner,Petrol,795399,Tata,ALTROZ,2
189,SUPER DIESEL,Manual,52465,2nd Owner,Diesel,1391599,MG,HECTOR,3
190,1.2 V CVT I VTEC,Automatic,23495,1st Owner,Petrol,773999,Honda,Amaze,4
191,V MT PETROL,Manual,24280,1st Owner,Petrol,1076199,Honda,City,2
192,S PETROL MT,Manual,7757,1st Owner,Petrol,1328499,Hyundai,Creta,2
193,DELTA 1.2 K12,Manual,25647,1st Owner,Petrol,675199,Maruti,Baleno,3
194,VXI,Manual,12407,1st Owner,Petrol,466049,Maruti,Celerio,4
195,1.2 VXMT I VTEC,Manual,1546,1st Owner,Petrol,720399,Honda,Amaze,4
196,ZETA 1.2 K12,Manual,22535,1st Owner,Petrol,574899,Maruti,Baleno,6
197,1.0 AMBITION TSI AT,Automatic,16292,2nd Owner,Petrol,1167399,Skoda,Rapid,2
198,DELTA 1.2 K12,Manual,16402,1st Owner,Petrol,676399,Maruti,Baleno,3
199,DELTA 1.2 K12,Manual,24453,2nd Owner,Petrol,659099,Maruti,Baleno,3
200,HIGHLINE A/T,Automatic,74860,1st Owner,Diesel,2139099,Volkswagen,TIGUAN,4
201,VXI,Manual,27718,1st Owner,Petrol,470699,Maruti,Celerio,3
202,GT TSI 1.2 PETROL AT,Automatic,53365,1st Owner,Petrol,705499,Volkswagen,Polo,3
203,DELTA 1.2 K12,Manual,29383,1st Owner,Petrol,660999,Maruti,Baleno,3
204,VXI (O) AMT,Automatic,13002,2nd Owner,Petrol,407299,Maruti,Alto K10,4
205,LXI CNG,Manual,23812,1st Owner,Petrol + CNG,510799,Maruti,Alto,1
206,SX PETROL MT,Manual,20361,1st Owner,Petrol,1191899,Hyundai,Verna,1
207,VXI PLUS,Manual,4889,1st Owner,Petrol,435499,Maruti,Alto,1
208,DELTA 1.2 K12,Manual,29525,2nd Owner,Petrol,607999,Maruti,Baleno,2
209,1.2 i-VTEC S MT,Manual,18136,2nd Owner,Petrol,652199,Honda,WR-V,4
210,1.6 VTVT SX AUTO,Automatic,31594,1st Owner,Petrol,1353699,Hyundai,Creta,3
211,1.2 ZX MT,Manual,10535,1st Owner,Petrol,893899,Honda,Jazz,2
212,XZ 1.2,Manual,32106,1st Owner,Petrol,822499,Tata,ALTROZ,2
213,1.2 i-VTEC VX MT,Manual,43575,1st Owner,Petrol,813199,Honda,WR-V,3
214,VXI 1.2L,Manual,10471,2nd Owner,Petrol,558799,Maruti,New  Wagon-R,2
215,ALPHA 1.3 DDIS SHVS,Manual,35969,1st Owner,Diesel,903299,Maruti,Ciaz,3
216,SIGMA 1.5 SHVS,Manual,1189,1st Owner,Petrol,941199,Maruti,S Cross,0
217,XZ PLUS 1.2 REVOTRON,Manual,9553,1st Owner,Petrol,814799,Tata,TIGOR,1
218,V MT PETROL,Manual,29922,1st Owner,Petrol,923399,Honda,City,3
219,1.5 TITANIUM TI VCT,Manual,46901,2nd Owner,Petrol,630199,Ford,Ecosport,6
220,DELTA 1.2 K12,Manual,22380,1st Owner,Petrol,643239,Maruti,Baleno,3
221,1.2 V CVT I VTEC,Automatic,29577,1st Owner,Petrol,794399,Honda,Amaze,3
222,ZXI,Manual,63278,1st Owner,Petrol,446999,Maruti,Swift,8
223,1.2 SPORTS PLUS VTVT,Manual,45805,1st Owner,Petrol,702299,Hyundai,Elite i20,3
224,VXI,Manual,95218,1st Owner,Petrol,331199,Maruti,Alto K10,5
225,1.0 RXT Opt,Manual,75123,1st Owner,Petrol,342999,Renault,Kwid,4
226,SPORTZ 1.4 CRDI,Manual,121564,2nd Owner,Diesel,348599,Hyundai,i20,9
227,ZETA 1.2 K12,Manual,19398,1st Owner,Petrol,728199,Maruti,Baleno,3
228,1.1 MAGNA AMT,Automatic,20498,1st Owner,Petrol,527699,Hyundai,NEW SANTRO,3
230,G SP,Manual,36330,1st Owner,Petrol,376599,Toyota,Etios Liva,9
231,SPORTZ 1.1,Manual,17336,1st Owner,Petrol,473899,Hyundai,NEW SANTRO,2
232,SHARP DCT PETROL,Automatic,35443,1st Owner,Petrol,1726099,MG,HECTOR,3
233,SHARP DCT PETROL,Automatic,36621,1st Owner,Petrol,1778399,MG,HECTOR,3
234,1.2 i-VTEC VX MT,Manual,84302,1st Owner,Petrol,671699,Honda,WR-V,5
235,1.0 Lxi (o) cng,Manual,16511,1st Owner,Petrol + CNG,684099,Maruti,New  Wagon-R,1
236,SHARP DCT PETROL,Automatic,38903,1st Owner,Petrol,1634199,MG,HECTOR,3
237,GL,Manual,58885,1st Owner,Petrol,1136899,Toyota,Corolla Altis,5
238,VXI,Manual,5821,1st Owner,Petrol,428299,Maruti,Alto K10,3
239,V MT PETROL,Manual,23860,1st Owner,Petrol,870999,Honda,City,4
240,VXI PLUS,Manual,14253,1st Owner,Petrol,686399,Maruti,Ciaz,6
241,ASTA 1.1 MT,Manual,12664,1st Owner,Petrol,558899,Hyundai,NEW SANTRO,3
242,Varicor 400 XMA,Automatic,75883,1st Owner,Diesel,1148749,Tata,Hexa,4
243,ASTA 1.2,Manual,25775,2nd Owner,Petrol,602099,Hyundai,Elite i20,5
245,DELTA 1.2 K12,Manual,25227,1st Owner,Petrol,689199,Maruti,Baleno,3
246,VXI,Manual,33888,2nd Owner,Petrol,441899,Maruti,Celerio,3
247,DELTA 1.2 K12,Manual,12799,1st Owner,Petrol,642999,Maruti,IGNIS,1
248,SIGMA 1.2 K12,Manual,18645,1st Owner,Petrol,466099,Maruti,IGNIS,4
249,DELTA 1.2 K12,Manual,64181,1st Owner,Petrol,480449,Maruti,Baleno,5
250,ZETA 1.2 K12,Manual,30672,1st Owner,Petrol,647999,Maruti,Baleno,4
251,VXI,Manual,37786,1st Owner,Petrol,346054,Maruti,Alto,3
252,S9,Manual,26121,1st Owner,Diesel,1513099,Mahindra,Scorpio,2
253,SPORTZ PETROL,Manual,16489,1st Owner,Petrol,676399,Hyundai,GRAND I10 NIOS,2
254,1.2 i-VTEC S MT,Manual,39333,1st Owner,Petrol,648099,Honda,WR-V,5
255,XZ+ 1.5,Manual,6694,1st Owner,Diesel,1261699,Tata,NEXON,1
256,ALPHA 1.2 K12 AMT,Automatic,25350,1st Owner,Petrol,670699,Maruti,IGNIS,3
257,MAGNA PLUS,Manual,43616,2nd Owner,Petrol,305699,Hyundai,Eon,7
258,VXI PLUS AGS,Automatic,2258,1st Owner,Petrol,528499,Maruti,S PRESSO,2
